LVLn1_of_siteS;LVLn2_of_siteS;LVLn3_of_siteS
Dicrostonyx_torquatus;Microtus_arvalis;Arvicola_sapidus
Alexandromys_oeconomus;Microtus_agrestis;Castor_fiber
Microtus_arvalis;Alexandromys_oeconomus;Clethrionomys_glareolus
Sorex_araneus;Arvicola_amphibius;Crocidura_leucodon
Neomys_fodiens;Apodemus_sylvaticus;Crocidura_russula
Fake_species;Microtus_lusitanicus;Crocidura_suaveolens
Choloepus_hoffmanni;Chionomys_nivalis;Eliomys_quercinus
;Sorex_araneus;Erinaceus_europaeus
;Talpa_europaea;Glis_glis
;;Micromys_minutus
;;Microtus_agrestis
;;Microtus_arvalis
;;Microtus_pyrenaicus
;;Microtus_subterraneus
;;Mus_musculus
;;Muscardinus_avellanarius
;;Myocastor_coypus
;;Neomys_fodiens
;;Ondatra_zibethicus
;;Rattus_norvegicus
;;Rattus_rattus
;;Sciurus_vulgaris
;;Sorex_araneus
;;Sorex_coronatus
;;Sorex_minutus
;;Suncus_etruscus
